XGBoost	0.89	0.94	0.91	0.85	4.14
GBM	0.89	0.96	0.92	0.86	3.68
SVM	0.92	0.98	0.95	0.91	2.30
Random Forest	0.90	0.92	0.91	0.86	4.14
Decision Tree	0.88	0.89	0.89	0.85	3.68

XGBoost	0.95	0.92	0.93	0.87	3.57
GBM	0.98	0.86	0.91	0.89	4.35
SVM	0.98	0.86	0.91	0.89	4.45
Random Forest	0.95	0.91	0.93	0.87	3.74
Decision Tree	0.94	0.93	0.93	0.89	3.74

XGBoost	0.87	0.90	0.88	0.82	5.42
GBM	0.90	0.87	0.88	0.84	5.25
SVM	0.93	0.80	0.86	0.84	5.93
Random Forest	0.89	0.88	0.89	0.84	5.08
Decision Tree	0.88	0.89	0.88	0.83	5.25

XGBoost	0.93	0.91	0.92	0.85	4.8
GBM	0.97	0.85	0.91	0.88	4.61
SVM	0.97	0.84	0.90	0.88	4.93
Random Forest	0.92	0.89	0.91	0.83	4.74
Decision Tree	0.91	0.90	0.91	0.82	4.72

